date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:39	23/23	---M--	200	added ('OK')	text/plain	date:Fri,%2029%20Sep%202017%2000:15:19%20GMT	https://sjesinstitutions.com/robots.txt		(from )
21:03:39	120878/120878	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:33:37%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/index.html	(from )
21:03:40	25658/25658	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Jan%202019%2021:02:37%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-includes/css/dist/block-library/style.min.css?ver=5.0.11	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-includes/css/dist/block-library/style.min3a40.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:40	14636/14636	---MC-	200	added ('OK')	application/rss+xml	etag:%221fc4a75080c042a9c76744ad0a73d4a2%22	https://sjesinstitutions.com/sjes-society-polytechnic/feed/	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/feed/index.html	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:40	1235/1235	---MC-	200	added ('OK')	application/rss+xml	etag:%22074cd7d4a402c9a7301c40d943ea72cf%22	https://sjesinstitutions.com/sjes-society-polytechnic/comments/feed/	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/comments/feed/index.html	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:41	12056/12056	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Dec%202018%2010:10:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-grid.css?ver=1.2.11	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-grida09d.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:41	39750/39750	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:41	8245/8245	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Dec%202018%2010:11:04%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontend.css?ver=2.7.21	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontend2a15.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:42	30982/30982	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jan%202019%2006:08:57%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/codelights-shortcodes-and-widgets/vendor/font-awesome/font-awesome.min.css?ver=4.5.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/codelights-shortcodes-and-widgets/vendor/font-awesome/font-awesome.min268f.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:03:42	1895/1895	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/css/slick.css?ver=1.5.9	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/css/slick7fb9.css	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
